Customer,Class,Kcustomer,Location
Customer734,Class01,Local,CDMX
Customer735,Class01,Local,CDMX
Customer736,Class01,Foraneo,CHIAPAS
Customer737,Class01,Foraneo,OAXACA
Customer738,Class01,Local,D. F.
Customer739,Class01,Local,CDMX
Customer740,Class01,Foraneo,SINALOA
Customer741,Class01,Local,CDMX
Customer742,Class01,Local,D. F.
Customer743,Class01,Local,CDMX
Customer744,Class01,Local,CDMX
Customer745,Class01,Local,EDO MEX
Customer746,Class01,Local,EDO MEX
Customer747,Class01,Local,ESTADO DE MEXICO
Customer748,Class01,Local,ESTADO DE MEXICO
Customer749,Class01,Foraneo,ESTADO DE MEXICO
Customer750,Class01,Local,CDMX
Customer751,Class01,Local,CDMX
Customer752,Class01,Local,CDMX
Customer753,Class01,Local,EDO MEX
Customer754,Class05,Local,CDMX
Customer755,Class01,Local,CDMX
Customer756,Class01,Local,EDO MEX
Customer757,Class01,Local,CDMX
Customer758,Class01,Local,CDMX
Customer759,Class01,Local,"D,F."
Customer760,Class01,Foraneo,CDMX
Customer761,Class01,Local,CDMX
Customer762,Class01,Local,CDMX
Customer763,Class01,Local,CDMX
Customer764,Class01,Local,CDMX
Customer765,Class01,Local,EDO MEX
Customer766,Class01,Local,EDO MEX
Customer767,Class01,Local,CDMX
Customer768,Class01,Foraneo,TABASCO
Customer769,Class01,Foraneo,TABASCO
Customer770,Class01,Local,CDMX
Customer771,Class01,Local,CDMX
Customer772,Class01,Local,CDMX
Customer773,Class01,Local,CDMX
Customer774,Class01,Local,CDMX
Customer775,Class01,Local,"D, F."
Customer776,Class01,Local,CDMX
Customer777,Class01,Local,CDMX
Customer778,Class01,Local,CDMX
Customer779,Class04,Local,CDMX
Customer780,Class01,Local,EDO MEX
Customer781,Class01,Local,CDMX
Customer782,Class01,Local,CDMX
Customer783,Class01,Foraneo,HIDALGO
Customer784,Class01,Local,CDMX
Customer785,Class01,Local,CDMX
Customer786,Class01,Local,CDMX
Customer787,Class01,Local,CDMX
Customer788,Class01,Local,CDMX
Customer789,Class01,Local,CDMX
Customer790,Class01,Local,CDMX
Customer791,Class01,Local,CDMX
Customer792,Class01,Local,CDMX
Customer793,Class01,Local,CDMX
Customer794,Class01,Local,CDMX
Customer795,Class01,Local,CDMX
Customer796,Class01,Local,CDMX
Customer797,Class01,Foraneo,MORELOS
Customer798,Class01,Local,CDMX
Customer799,Class01,Local,EDO MEX
Customer800,Class01,Local,CDMX
Customer801,Class01,Local,EDO MEX
Customer802,Class01,Local,CDMX
Customer803,Class01,Local,CDMX
Customer804,Class01,Local,CDMX
Customer805,Class01,Local,"D,F."
Customer806,Class01,Local,CDMX
Customer807,Class01,Local,EDO MEX
Customer808,Class01,Local,"D,F."
Customer809,Class01,Foraneo,EDO MEX
Customer810,Class01,Local,CDMX
Customer811,Class01,Local,CDMX
Customer812,Class01,Local,EDO MEX
Customer813,Class01,Foraneo,GRO
Customer814,Class01,Local,ESTADO DE MEXICVO
Customer815,Class04,Foraneo,PUEBLA
